pair,total_ibd_mb,sample_a,sample_b
"('NA19359_NA19359', 'NA19468_NA19468')",50.74027,NA19359_NA19359,NA19468_NA19468
"('NA19315_NA19315', 'NA19350_NA19350')",50.729832,NA19315_NA19315,NA19350_NA19350
"('NA19394_NA19394', 'NA19457_NA19457')",50.719778,NA19394_NA19394,NA19457_NA19457
"('NA19309_NA19309', 'NA19317_NA19317')",50.698198,NA19309_NA19309,NA19317_NA19317
"('NA19380_NA19380', 'NA19457_NA19457')",50.618781999999996,NA19380_NA19380,NA19457_NA19457
"('NA19046_NA19046', 'NA19449_NA19449')",50.581365000000005,NA19046_NA19046,NA19449_NA19449
"('NA19403_NA19403', 'NA19439_NA19439')",50.518949,NA19403_NA19403,NA19439_NA19439
"('NA19044_NA19044', 'NA19046_NA19046')",50.371721,NA19044_NA19044,NA19046_NA19046
"('NA19377_NA19377', 'NA19398_NA19398')",50.3223,NA19377_NA19377,NA19398_NA19398
"('NA19346_NA19346', 'NA19350_NA19350')",50.168775,NA19346_NA19346,NA19350_NA19350
"('NA19467_NA19467', 'NA19471_NA19471')",50.162045,NA19467_NA19467,NA19471_NA19471
"('NA19435_NA19435', 'NA19462_NA19462')",50.070802,NA19435_NA19435,NA19462_NA19462
